score,date
3,5/27/2023 6:30:11 PM
13,5/27/2023 6:33:36 PM
5,5/27/2023 6:34:23 PM
7,5/27/2023 7:18:50 PM
5,5/27/2023 7:21:52 PM
20,5/27/2023 8:07:38 PM
140,5/27/2023 8:21:16 PM
180,5/27/2023 8:21:33 PM
150,5/27/2023 8:23:34 PM
150,5/27/2023 8:25:43 PM
440,5/27/2023 8:26:33 PM
300,5/27/2023 8:27:55 PM
37,5/27/2023 9:46:15 PM
4,5/27/2023 10:10:55 PM
9,5/27/2023 10:11:19 PM
0,5/27/2023 10:16:24 PM
2,5/27/2023 10:18:43 PM
0,5/27/2023 10:19:01 PM
0,5/27/2023 10:22:17 PM
13,5/28/2023 12:27:53 AM
0,5/28/2023 12:31:57 AM
0,5/28/2023 12:35:16 AM
5,5/29/2023 1:13:08 AM
5,5/29/2023 1:13:10 AM
